    masa        posicionx       posiciony       velocidadx      velocidady
0   1.989e30    0                0                0                0          
1   3.302e23    5.791e10         0                0                4.7873e4
2   4.869e24    1.082e11         0                0                3.5023e4
3   5.976e24    1.496e11         0                0                2.9785e4
4   6.419e23    2.279e11         0                0                2.4131e4
5   1.899e27    7.783e11         0                0                1.3058e4
6   5.685e26    1.428e12         0                0                9.6405e3
7   8.683e25    2.871e12         0                0                6.7990e3
8   1.024e26    4.498e12         0                0                5.4319e3
9   1.000e22    5.906e12         0                0                4.7404e3
